Problem Name;Row Type;Title;Body Text;Answer;answerType;HintID;Dependency;mcChoices;Images (space delimited);Parent;OER src;openstax KC;KC;Taxonomy;License
trigmodel7;hint;Recall the frequency formula;The frequency $$f$$ is the reciprocal of the period $$T$$, so $$f = \frac{1}{T}$$ or $$f = \frac{|B|}{2\pi}$$.;;;h1;;;;;;;;;
trigmodel7;scaffold;Recall the period;What is the period $$T$$ of the function $$f(t)=20sin(160πt)+100$$?;1/80;numeric;s1;h1;;;;;;;;
trigmodel7;step;What is the range of the average person's blood pressure modeled by the function $$f(t)=20sin(160πt)+100$$?;;[80, 120];algebra;;;;;;;;;;
trigmodel7;hint;Identify amplitude and vertical shift;For a sinusoidal function $$f(t) = A\sin(Bt) + D$$, the amplitude is $$|A|$$ and the vertical shift is $$D$$. The range of the function is $$[D-|A|, D+|A|]$$.;;;h1;;;;;;;;;
trigmodel7;scaffold;Identify A and D;What are the values of $$A$$ and $$D$$ in the function $$f(t)=20sin(160πt)+100$$?;A=20, D=100;mc;s1;h1;A=20, D=100|A=160π, D=100|A=100, D=20|A=20, D=160π;;;;;;;
;;;;;;;;;;;;;;;
trigmodel8;problem;Finding the Displacement, Period, and Frequency, and Graphing a Function;For the following functions:;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel8;step;Determine the period of the function $$y=5sin(3t)$$.;;2π/3;algebra;;;;;;;;;;
trigmodel8;hint;Period formula;For $$y = A\sin(Bt-C) + D$$, the period is $$T = \frac{2\pi}{|B|}$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Identify B;What is $$B$$ in $$y=5sin(3t)$$?;3;numeric;s1;h1;;;;;;;;
trigmodel8;step;Determine the frequency of the function $$y=5sin(3t)$$.;;3/(2π);algebra;;;;;;;;;;
trigmodel8;hint;Frequency formula;Frequency $$f = \frac{1}{T}$$ or $$f = \frac{|B|}{2\pi}$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Recall the period;What is the period $$T$$ of $$y=5sin(3t)$$?;2π/3;algebra;s1;h1;;;;;;;;
trigmodel8;hint;Vertical shift formula;For $$y = A\sin(Bt-C) + D$$, the vertical shift is $$D$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Identify D;What is $$D$$ in $$y=5sin(3t)$$?;0;numeric;s1;h1;;;;;;;;
trigmodel8;step;Determine the period of the function $$y=6cos(πt)$$.;;2;numeric;;;;;;;;;;
trigmodel8;hint;Period formula;For $$y = A\cos(Bt-C) + D$$, the period is $$T = \frac{2\pi}{|B|}$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Identify B;What is $$B$$ in $$y=6cos(πt)$$?;π;algebra;s1;h1;;;;;;;;
trigmodel8;step;Determine the frequency of the function $$y=6cos(πt)$$.;;1/2;numeric;;;;;;;;;;
trigmodel8;hint;Frequency formula;Frequency $$f = \frac{1}{T}$$ or $$f = \frac{|B|}{2\pi}$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Recall the period;What is the period $$T$$ of $$y=6cos(πt)$$?;2;numeric;s1;h1;;;;;;;;
trigmodel8;step;Determine the phase shift of the function $$y=6cos(πt)$$.;;0;numeric;;;;;;;;;;
trigmodel8;hint;Phase shift formula;For $$y = A\cos(B(t-C)) + D$$, the phase shift is $$C$$. If the function is in the form $$A\cos(Bt-C')$$, then $$C = C'/B$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Identify C;Rewrite $$y=6cos(πt)$$ in the form $$y = A\cos(B(t-C)) + D$$. What is $$C$$?;0;numeric;s1;h1;;;;;;;;
trigmodel8;step;Determine the vertical shift of the function $$y=6cos(πt)$$.;;0;numeric;;;;;;;;;;
trigmodel8;hint;Vertical shift formula;For $$y = A\cos(Bt-C) + D$$, the vertical shift is $$D$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Identify D;What is $$D$$ in $$y=6cos(πt)$$?;0;numeric;s1;h1;;;;;;;;
trigmodel8;step;Determine the period of the function $$y=5cos(\frac{π}{2}t)$$.;;4;numeric;;;;;;;;;;
trigmodel8;hint;Period formula;For $$y = A\cos(Bt-C) + D$$, the period is $$T = \frac{2\pi}{|B|}$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Identify B;What is $$B$$ in $$y=5cos(\frac{π}{2}t)$$?;π/2;algebra;s1;h1;;;;;;;;
trigmodel8;step;Determine the frequency of the function $$y=5cos(\frac{π}{2}t)$$.;;1/4;numeric;;;;;;;;;;
trigmodel8;hint;Frequency formula;Frequency $$f = \frac{1}{T}$$ or $$f = \frac{|B|}{2\pi}$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Recall the period;What is the period $$T$$ of $$y=5cos(\frac{π}{2}t)$$?;4;numeric;s1;h1;;;;;;;;
trigmodel8;step;Determine the phase shift of the function $$y=5cos(\frac{π}{2}t)$$.;;0;numeric;;;;;;;;;;
trigmodel8;hint;Phase shift formula;For $$y = A\cos(B(t-C)) + D$$, the phase shift is $$C$$. If the function is in the form $$A\cos(Bt-C')$$, then $$C = C'/B$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Identify C;Rewrite $$y=5cos(\frac{π}{2}t)$$ in the form $$y = A\cos(B(t-C)) + D$$. What is $$C$$?;0;numeric;s1;h1;;;;;;;;
trigmodel8;step;Determine the vertical shift of the function $$y=5cos(\frac{π}{2}t)$$.;;0;numeric;;;;;;;;;;
trigmodel8;hint;Vertical shift formula;For $$y = A\cos(Bt-C) + D$$, the vertical shift is $$D$$.;;;h1;;;;;;;;;
trigmodel8;scaffold;Identify D;What is $$D$$ in $$y=5cos(\frac{π}{2}t)$$?;0;numeric;s1;h1;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel9;problem;Modeling Damped Harmonic Motion;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel9;step;Model the equation for the first mass-spring system with a frequency of $$0.5$$ cycles per second, an initial displacement of 10 cm, and a damping factor of $$0.5$$.;;$$f(t)=10e^{-0.5t}\cos(\pi t)$$;algebra;;;;;;;;;;
trigmodel9;hint;Damped harmonic motion formula;The general form for damped harmonic motion is $$f(t) = Ae^{-ct}\cos(\omega t)$$ or $$f(t) = Ae^{-ct}\sin(\omega t)$$. Use cosine for initial displacement at $$t=0$$.;;;h1;;;;;;;;;
trigmodel9;scaffold;Identify A and c;What are the initial displacement $$A$$ and the damping factor $$c$$?;A=10, c=0.5;algebra;s1;h1;;;;;;;;
trigmodel9;hint;Calculate angular frequency;The angular frequency $$\omega$$ is related to the frequency $$f$$ by the formula $$\omega = 2\pi f$$.;;;h2;h1;;;;;;;;
trigmodel9;scaffold;Calculate ω;Given a frequency of $$0.5$$ cycles per second, what is the angular frequency $$\omega$$?;π;algebra;s2;h2;;;;;;;;
trigmodel9;step;Model the equation for the second mass-spring system with a frequency of $$0.5$$ cycles per second, an initial displacement of 10 cm, and a damping factor of $$0.1$$.;;$$f(t)=10e^{-0.1t}\cos(\pi t)$$;algebra;;;;;;;;;;
trigmodel9;hint;Damped harmonic motion formula;The general form for damped harmonic motion is $$f(t) = Ae^{-ct}\cos(\omega t)$$ or $$f(t) = Ae^{-ct}\sin(\omega t)$$. Use cosine for initial displacement at $$t=0$$.;;;h1;;;;;;;;;
trigmodel9;scaffold;Identify A and c;What are the initial displacement $$A$$ and the damping factor $$c$$ for this scenario?;A=10, c=0.1;algebra;s1;h1;;;;;;;;
trigmodel9;hint;Calculate angular frequency;The angular frequency $$\omega$$ is related to the frequency $$f$$ by the formula $$\omega = 2\pi f$$. This value is the same as the previous step.;;;h2;h1;;;;;;;;
trigmodel9;scaffold;Calculate ω;Given a frequency of $$0.5$$ cycles per second, what is the angular frequency $$\omega$$?;π;algebra;s2;h2;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel10;problem;Finding a Cosine Function that Models Damped Harmonic Motion;Find and graph a function of the form $$y=ae^{−ct}cos(ωt)$$ that models the information given.;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel10;step;Find the function of the form $$y=ae^{−ct}cos(ωt)$$ given $$a=20,c=0.05,p=4$$.;;$$y=20e^{-0.05t}cos\left(\frac{\pi}{2}t\right)$$;algebra;;;;;;;;;;
trigmodel10;hint;Identify known parameters;The general form is $$y=ae^{−ct}cos(ωt)$$. Identify the values of $$a$$ and $$c$$ directly from the given information.;;;h1;;;;;;;;;
trigmodel10;scaffold;What are a and c?;What are the values of $$a$$ and $$c$$?;$$a=20, c=0.05$$;algebra;s1;h1;;;;;;;;
trigmodel10;hint;Calculate angular frequency;The period $$p$$ is given. Recall the relationship between period and angular frequency $$ω$$.;;;h2;h1;;;;;;;;
trigmodel10;scaffold;Formula for omega;What is the formula relating period $$p$$ and angular frequency $$ω$$?;$$p=\frac{2\pi}{\omega}$$;algebra;s2;h2;;;;;;;;
trigmodel10;hint;Substitute and solve for omega;Use the given period $$p=4$$ and the formula to find $$ω$$.;;;h3;h2;;;;;;;;
trigmodel10;scaffold;Calculate omega;What is the value of $$ω$$?;$$\frac{\pi}{2}$$;algebra;s3;h3;;;;;;;;
trigmodel10;step;Find the function of the form $$y=ae^{−ct}cos(ωt)$$ given $$a=2,c=1.5,f=3$$.;;$$y=2e^{-1.5t}cos(6\pi t)$$;algebra;;;;;;;;;;
trigmodel10;hint;Identify known parameters;The general form is $$y=ae^{−ct}cos(ωt)$$. Identify the values of $$a$$ and $$c$$ directly from the given information.;;;h1;;;;;;;;;
trigmodel10;scaffold;What are a and c?;What are the values of $$a$$ and $$c$$?;$$a=2, c=1.5$$;algebra;s1;h1;;;;;;;;
trigmodel10;hint;Calculate angular frequency;The frequency $$f$$ is given. Recall the relationship between frequency and angular frequency $$ω$$.;;;h2;h1;;;;;;;;
trigmodel10;scaffold;Formula for omega;What is the formula relating frequency $$f$$ and angular frequency $$ω$$?;$$f=\frac{\omega}{2\pi}$$;algebra;s2;h2;;;;;;;;
trigmodel10;hint;Substitute and solve for omega;Use the given frequency $$f=3$$ and the formula to find $$ω$$.;;;h3;h2;;;;;;;;
trigmodel10;scaffold;Calculate omega;What is the value of $$ω$$?;$$6\pi$$;algebra;s3;h3;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel11;problem;Finding a Sine Function that Models Damped Harmonic Motion;Find and graph a function of the form $$y=ae^{−ct}sin(ωt)$$ that models the information given.;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel11;step;Find the function of the form $$y=ae^{−ct}sin(ωt)$$ given $$a=7,c=10,p=\frac{π}{6}$$.;;$$y=7e^{-10t}sin(12t)$$;algebra;;;;;;;;;;
trigmodel11;hint;Identify known parameters;The general form is $$y=ae^{−ct}sin(ωt)$$. Identify the values of $$a$$ and $$c$$ directly from the given information.;;;h1;;;;;;;;;
trigmodel11;scaffold;What are a and c?;What are the values of $$a$$ and $$c$$?;$$a=7, c=10$$;algebra;s1;h1;;;;;;;;
trigmodel11;hint;Calculate angular frequency;The period $$p$$ is given. Recall the relationship between period and angular frequency $$ω$$.;;;h2;h1;;;;;;;;
trigmodel11;scaffold;Formula for omega;What is the formula relating period $$p$$ and angular frequency $$ω$$?;$$p=\frac{2\pi}{\omega}$$;algebra;s2;h2;;;;;;;;
trigmodel11;hint;Substitute and solve for omega;Use the given period $$p=\frac{\pi}{6}$$ and the formula to find $$ω$$.;;;h3;h2;;;;;;;;
trigmodel11;scaffold;Calculate omega;What is the value of $$ω$$?;$$12$$;algebra;s3;h3;;;;;;;;
trigmodel11;step;Find the function of the form $$y=ae^{−ct}sin(ωt)$$ given $$a=0.3,c=0.2,f=20$$.;;$$y=0.3e^{-0.2t}sin(40\pi t)$$;algebra;;;;;;;;;;
trigmodel11;hint;Identify known parameters;The general form is $$y=ae^{−ct}sin(ωt)$$. Identify the values of $$a$$ and $$c$$ directly from the given information.;;;h1;;;;;;;;;
trigmodel11;scaffold;What are a and c?;What are the values of $$a$$ and $$c$$?;$$a=0.3, c=0.2$$;algebra;s1;h1;;;;;;;;
trigmodel11;hint;Calculate angular frequency;The frequency $$f$$ is given. Recall the relationship between frequency and angular frequency $$ω$$.;;;h2;h1;;;;;;;;
trigmodel11;scaffold;Formula for omega;What is the formula relating frequency $$f$$ and angular frequency $$ω$$?;$$f=\frac{\omega}{2\pi}$$;algebra;s2;h2;;;;;;;;
trigmodel11;hint;Substitute and solve for omega;Use the given frequency $$f=20$$ and the formula to find $$ω$$.;;;h3;h2;;;;;;;;
trigmodel11;scaffold;Calculate omega;What is the value of $$ω$$?;$$40\pi$$;algebra;s3;h3;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel12;problem;Modeling the Oscillation of a Spring;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel12;step;Find an equation that models the position of the spring $$t$$ seconds after being released.;;$$y=5e^{-(-\ln(0.7))t}cos\left(\frac{2\pi}{3}t\right)$$;algebra;;;;;;;;;;
trigmodel12;hint;Identify the general form;The problem describes damped harmonic motion. Recall the general form for such a function, typically $$y=ae^{−ct}cos(ωt)$$ or $$y=ae^{−ct}sin(ωt)$$. Since the spring is compressed and released, it starts at maximum displacement, suggesting a cosine function.;;;h1;;;;;;;;;
trigmodel12;scaffold;What is the initial amplitude?;What is the initial displacement (amplitude) $$a$$ when the spring is released?;$$5$$;numeric;s1;h1;;;;;;;;
trigmodel12;hint;Determine angular frequency;The problem states the oscillation period. Use this to find the angular frequency $$ω$$.;;;h2;h1;;;;;;;;
trigmodel12;scaffold;Calculate omega;Given that it oscillates once every 3 seconds (period $$p=3$$), what is $$ω$$?;$$\frac{2\pi}{3}$$;algebra;s2;h2;;;;;;;;
trigmodel12;hint;Determine the damping constant;The amplitude decreases by 30% every second. This information helps determine the damping constant $$c$$ in the $$e^{-ct}$$ term.;;;h3;h2;;;;;;;;
trigmodel12;scaffold;Calculate c;If the amplitude decreases by 30% each second, what is the value of $$e^{-c}$$ for $$t=1$$? Then solve for $$c$$.;$$-\ln(0.7)$$;algebra;s3;h3;;;;;;;;
;;;;;;;;;;;;;;;
trigmodel13;problem;Finding the Value of the Damping Constant c According to the Given Criteria;;;;;;;;;https://openstax.org/books/precalculus-2e/pages/7-6-modeling-with-trigonometric-functions;;Modeling with Trigonometric Functions;;
trigmodel13;step;Find the damping constant c for the given damped harmonic motion.;;ln(2)/3;numeric;;;;;;;;;;
trigmodel13;hint;Damped Harmonic Motion Formula;The general form for damped harmonic motion is f(t) = ae^(-ct)cos(ωt) or f(t) = ae^(-ct)sin(ωt). For problems where the initial displacement is given as a maximum, we often use f(t) = ae^(-ct) to model the envelope of the damping.;;;h1;;;;;;;;;
trigmodel13;scaffold;Identify Initial Amplitude;What is the initial displacement of the string from its resting position?;2;numeric;s1;h1;;;;;;;;
trigmodel13;hint;Set up the Equation;Substitute the known values (initial amplitude, time, and displacement at that time) into the envelope equation f(t) = ae^(-ct).;;;h2;h1;;;;;;;;
trigmodel13;scaffold;Formulate the Equation;If a=2, t=3, and f(3)=1, what is the equation you need to solve for c?;1 = 2e^(-3c);algebra;s2;h2;;;;;;;;
trigmodel13;hint;Solve for c;Use logarithms to isolate c.;;;h3;h2;;;;;;;;
trigmodel13;scaffold;Calculate Damping Constant;What is the value of c?;ln(2)/3;numeric;s3;h3;;;;;;;;
;;;;;;;;;;;;;;;
